#EventID,#EventMacro,#StateID,#ErrorID,#ErrorMacro
500040321,EVENT_Draining_TimeOut_Empty_2min,520000262,511040324,ERR_Draining_TimeOut_2min_Intermediuim_Xylene
500040321,EVENT_Draining_TimeOut_Empty_2min,520000292,511040325,ERR_Draining_TimeOut_2min_Infiltration_Paraffin
500040321,EVENT_Draining_TimeOut_Empty_2min,520000312,511040326,ERR_Draining_TimeOut_2min_Cleaning_Xylene
500040321,EVENT_Draining_TimeOut_Empty_2min,520000332,511040327,ERR_Draining_TimeOut_2min_Cleaning_Alcohol
500040321,EVENT_Draining_TimeOut_Empty_2min,520000352,511040328,ERR_Draining_TimeOut_2min_Cleaning_Water
,,,,
500040341,EVENT_Draining_TimeOut_Empty_4min,520000202,513040341,ERR_Draining_TimeOut_4min_Fixation
500040341,EVENT_Draining_TimeOut_Empty_4min,520000222,513040342,ERR_Draining_TimeOut_4min_Dehydration_Alcohol_Diluted
500040341,EVENT_Draining_TimeOut_Empty_4min,520000242,513040343,ERR_Draining_TimeOut_4min_Dehydration_Alcohol_Undiluted
500040341,EVENT_Draining_TimeOut_Empty_4min,520000262,513040344,ERR_Draining_TimeOut_4min_Intermediuim_Xylene
500040341,EVENT_Draining_TimeOut_Empty_4min,520000292,513040345,ERR_Draining_TimeOut_4min_Infiltration_Paraffin
500040341,EVENT_Draining_TimeOut_Empty_4min,520000312,513040346,ERR_Draining_TimeOut_4min_Cleaning_Xylene
500040341,EVENT_Draining_TimeOut_Empty_4min,520000332,512040347,ERR_Draining_TimeOut_4min_Cleaning_Alcohol
500040341,EVENT_Draining_TimeOut_Empty_4min,520000352,512040348,ERR_Draining_TimeOut_4min_Cleaning_Water
,,,,
500040361,EVENT_Draining_Interupt,520000202,513040361,ERR_Draining_Interupt_Fixation
500040361,EVENT_Draining_Interupt,520000222,513040362,ERR_Draining_Interupt_Dehydration_Alcohol_Diluted
500040361,EVENT_Draining_Interupt,520000242,513040363,ERR_Draining_Interupt_Dehydration_Alcohol_Undiluted
500040361,EVENT_Draining_Interupt,520000262,513040364,ERR_Draining_Interupt_Intermediuim_Xylene
500040361,EVENT_Draining_Interupt,520000292,513040365,ERR_Draining_Interupt_Infiltration_Paraffin
500040361,EVENT_Draining_Interupt,520000312,513040366,ERR_Draining_Interupt_Cleaning_Xylene
500040361,EVENT_Draining_Interupt,520000332,513040367,ERR_Draining_Interupt_Cleaning_Alcohol
500040361,EVENT_Draining_Interupt,520000352,513040368,ERR_Draining_Interupt_Cleaning_Water
,,,,
500040401,EVENT_Releasing_TimeOut,520000200,513040401,ERR_Releasing_TimeOut_PreTest
500040401,EVENT_Releasing_TimeOut,520000201;520000202;520000203;520000204,512040402,ERR_Releasing_TimeOut_Fixation
500040401,EVENT_Releasing_TimeOut,520000221;520000222;520000223;520000224,512040403,ERR_Releasing_TimeOut_Dehydration_Alcohol_Diluted
500040401,EVENT_Releasing_TimeOut,520000241;520000242;520000243;520000244,512040404,ERR_Releasing_TimeOut_Dehydration_Alcohol_Undiluted
500040401,EVENT_Releasing_TimeOut,520000261;520000262;520000263;520000264,512040405,ERR_Releasing_TimeOut_Intermediuim_Xylene
500040401,EVENT_Releasing_TimeOut,520000291;520000292;520000293,512040406,ERR_Releasing_TimeOut_Infiltration_Paraffin
500040401,EVENT_Releasing_TimeOut,520000311;520000322,512040407,ERR_Releasing_TimeOut_Cleaning_Xylene
500040401,EVENT_Releasing_TimeOut,520000331;520000332,512040408,ERR_Releasing_TimeOut_Cleaning_Alcohol
500040401,EVENT_Releasing_TimeOut,520000351;520000352,512040409,ERR_Releasing_TimeOut_Cleaning_Water
500040401,EVENT_Releasing_TimeOut,520000006,513040410,ERR_Releasing_TimeOut_Pause
,,,,
500040501,EVENT_Status_ExhaustFan,520000002;520000200;520000201;520000221;520000241;520000261;520000291;520000311;520000331;520000351;520000204;520000224;520000244;520000264;520000293,512040501,ERR_Status_ExhaustFan
,,,,
500040601,EVENT_TubeHeating_Tube1_Abnormal, 520000291;520000292;520000293;520000294;520000295;520000296;520000297;,513040601,ERR_TubeHeating_Tube1_Abnormal
500040711,EVENT_TubeHeating_Tube2_Abnormal, 520000291;520000292;520000293;520000294;520000295;520000296;520000297;,513040711,ERR_TubeHeating_Tube2_Abnormal
,,,,
500040621,EVENT_TempSensor_Tube1_OutofRange,,512040621,ERR_TempSensor_Tube1_OutofRange
500040731,EVENT_TempSensor_Tube2_OutofRange,,512040731,ERR_TempSensor_Tube2_OutofRange
