#,*EventCODE,*EventType,*Action ( Reboot + 3+ shutdown) or Error/Warning/Info/Busy/Idle/Stop,"Response to negative options selected by the user - Cancel, No etc","*SourceComponent , mandatory if Ack is true",Yes/No,High/Medium/Low/None,True/False,EnglishString,Ok-Yes+No-Continue+Stop-Ok+Cancel,Yes/No,EventInfo
#EventId,EventMacro,EventType,ActionTypePositive,ActionTypeNegative,Source,AlarmTone,*LogLevel,UserLog,EventString,GUIEvent,StatusBarIcon,EventInfo
16908304,EVENT_THREADS_ERROR_COMMAND_HAS_TIMEOUT,Error,,,,,Low,FALSE,,,,
16973825,EVENT_DATALOGGING_ERROR_FILE_NOT_OPEN,Error,,,,,Low,FALSE,Unable to open the file %1,,,
16973826,EVENT_DATALOGGING_ERROR_FILE_NOT_EXISTS,Error,,,,,Low,FALSE,File does not exist %1,,,
16973827,EVENT_DATALOGGING_ERROR_FILE_WRONG_SUFFIX,Error,,,,,Low,FALSE,Wrong suffix in the file %1,,,
16973828,EVENT_DATALOGGING_ERROR_EVENT_ID_NOT_EXISTS,Error,,,,,Low,FALSE,Event Id %1 not exists in the event string xml file,,,
16977921,EVENT_DATALOGGING_INFO_FILE_CREATE,Info,,,,,Low,FALSE,,,,
16977922,EVENT_DATALOGGING_INFO_FILE_OPEN,Info,,,,,Low,FALSE,,,,
16977923,EVENT_DATALOGGING_INFO_FILE_REMOVE,Info,,,,,Low,FALSE,,,,
17039361,EVENT_ERROR_STATE,Info,,,,No,High,,Colorado has switched to error state,,,
17039362,EVENT_NORMAL_STATE,Info,,,,No,High,,Colorado has switched to normal state,,,
17039363,EVENT_GUI_AVAILABLE,,,,,,,,,,,
17235969,EVENT_DATAMANAGER_ERROR_READING_XML_STARTELEMENT,Error,,,,,Low,FALSE,Error reading xml start element '%1'.,Ok,,
17235970,EVENT_DATAMANAGER_ERROR_UNEXPECTED_XML_STARTELEMENT,Error,,,,,Low,FALSE,Unexpected xml start element '%1'. Expected: '%2',Ok,,
17235971,EVENT_DATAMANAGER_ERROR_XML_ATTRIBUTE_NOT_FOUND,Error,,,,,Low,FALSE,xml attribute not found: '%1'.,Ok,,
17235972,EVENT_DATAMANAGER_ERROR_NO_VALID_NUMBER,Error,,,,,Low,FALSE,%1' is not a valid number.,Ok,,
17235973,EVENT_DATAMANAGER_ERROR_NOT_SUPPORTED_LANGUAGE,Error,,,,,Low,FALSE,%1' is not a supported language.,Ok,,
17235974,EVENT_DATAMANAGER_ERROR_NO_VALID_ONOFFSTATE,Error,,,,,Low,FALSE, '%1' is not a valid on/off state.,Ok,,
17235975,EVENT_DATAMANAGER_ERROR_UNSUPPORTED_VERSION,Error,,,,,Low,FALSE,Unsupported version '%1'.,Ok,,
17235976,EVENT_DATAMANAGER_ERROR_LANG_NOT_FOUND,Error,,,,,Low,FALSE,Translations for language '%1' not found.,Ok,,
17235977,EVENT_DATAMANAGER_ERROR_PASSWORD_FORMAT,Error,,,,,Low,FALSE,Password does not fit requirements.,Ok,,
17235978,EVENT_DATAMANAGER_ERROR_PASSWORD_SERIAL_NUMBER,Error,,,,,Low,FALSE,Serial number does not fit.,Ok,,
17235979,EVENT_DATAMANAGER_ERROR_NO_VALID_DATEFORMAT,Error,,,,,Low,FALSE,'%1' is not a valid date format.,Ok,,
17235980,EVENT_DATAMANAGER_ERROR_NO_VALID_TIMEFORMAT,Error,,,,,Low,FALSE,'%1' is not a valid time format.,Ok,,
17235981,EVENT_DATAMANAGER_ERROR_NO_VALID_TEMPFORMAT,Error,,,,,Low,FALSE,'%1' is not a valid temperature format .,Ok,,
17235982,EVENT_DATAMANAGER_ERROR_NO_VALID_OVENSTARTMODE,Error,,,,,Low,FALSE,'%1' is not a valid oven start mode.,Ok,,
17235983,EVENT_DM_SETTINGS_XML_READ_FAILED,Info,,,,,Low,FALSE,UserSettings XML File Read failed,Ok,,
17235984,EVENT_DM_DEVICE_CONFIG_XML_READ_FAILED,Info,,,,,Low,FALSE,Device Configuration XML file Read failed,Ok,,
17235985,EVENT_DM_SETTINGS_VERIFICATION_FAILED,Info,,,,,Low,FALSE,UserSettings Verification Failed,Ok,,
17235986,EVENT_DM_DEVICE_CONFIG_VERIFICATION_FAILED,Info,,,,,Low,FALSE,DeviceConfiguration Verification Failed,Ok,,
